Name,Score,Age,Ethinicity,Subject,Sex,ID
AI-KYUNG CHUNG,82,18,White American,Data Structue,M,1
ALAN HARVEY,79,19,European American,Data Structue,M,2
ALAN REYNAUD,39,19,European American,Data Structue,M,3
ALBERT CENDANA,76,18,White American,Data Structue,M,4
ALBERT HOLT JR,76,18,White American,Data Structue,F,5
ALBERT PARDINI,89,20,White American,Data Structue,M,6
ALBERT YU,89,18,White American,Data Structue,M,7
ALBERTO PEDRUCO,59,19,White American,Data Structue,M,8
ALEC BALMY,82,18,Hispanic,Data Structue,M,9
ALEETA VAN RUNKLE,82,19,Hispanic,Data Structue,F,10
ALEX TSE,47,20,White American,Data Structue,M,11
ALEXANDER CHEN,47,20,White American,Data Structue,M,12
ALEXANDER KWAN,60,19,White American,Data Structue,M,13
ALEXIS GOLDNER,82,18,White American,Data Structue,M,14
ALLEN TURPIN,82,21,White American,Data Structue,F,15
ALSON LEE,76,20,White American,Data Structue,M,16
ALVIN LAU,25,18,White American,Data Structue,M,17
AMEN CHOW,89,18,European American,Data Structue,M,18
AMPARO RODRIGUEZ,85,18,Hispanic,Data Structue,M,19
AMY BROWN,60,18,White American,Data Structue,F,20
AMY HART,76,18,Hispanic,Data Structue,M,21
ANA SAMPERA,60,18,European American,Data Structue,M,22
ANDRE ANDREWS SR,69,18,White American,Data Structue,M,23
ANDRE WILLIAMS,59,19,Hispanic,Data Structue,M,24
ANDREW LOGAN,85,20,European American,Data Structue,F,25
ANDREW SAITZ,85,18,White American,Data Structue,M,26
ANDY ZANOFF,47,20,Hispanic,Data Structue,M,27
ANGELA PLATZER,85,20,European American,Data Structue,M,28
ANN MANNIX,82,21,Hispanic,Data Structue,M,29
ANNA BROWN,79,19,White American,Data Structue,F,30
ANNE KRONENBERG,69,20,White American,Data Structue,M,31
ANNETTE HOBRUCKER-PFEIFER,60,21,European American,Data Structue,M,32
ANTHONY DUMONT,39,19,European American,Data Structue,M,33
ANTHONY ROBINSON,,18,European American,Data Structue,M,34
ANTONIO FLORES,47,20,Hispanic,Data Structue,F,35
ANTONIO PARRA,59,19,White American,Data Structue,M,36
ANTONIO SANTIAGO,47,18,White American,Data Structue,M,37
ARNIE LEE,69,20,White American,Data Structue,M,38
ARNOLD CHOY,39,18,White American,Data Structue,M,39
ARTHUR BORGES,60,19,White American,Data Structue,F,40
ARTHUR KENNEY,69,20,European American,Data Structue,M,41
ARTHUR STELLINI,89,20,African American,Data Structue,M,42
ATTICA BOWDEN,59,21,White American,Data Structue,M,43
BARBARA GARCIA,79,18,European American,Data Structue,M,44
BARBARA HALE,76,20,European American,Data Structue,F,45
BARBARA SCHULTHEIS,59,21,African American,Data Structue,M,46
BARRY BLOOM,79,21,White American,Data Structue,M,47
BENJAMIN ROSENFIELD,76,18,Hispanic,Data Structue,M,48
BERGLIOTH MATHEWS,59,18,Hispanic,Data Structue,M,49
BERT REYES,60,19,White American,Data Structue,F,50
BOND YEE,76,18,European American,Data Structue,M,51
BONNIE TAYLOR,82,19,White American,Data Structue,M,52
BRADEN WOODS,39,19,African American,Data Structue,M,53
BRENDAN MCGORRIN,89,20,White American,Data Structue,M,54
BRENDAN WARD,82,21,White American,Data Structue,F,55
BRIAN DELAHUNTY,85,18,Hispanic,Data Structue,M,56
BRIAN MURPHY,47,20,European American,Data Structue,M,57
BRIAN PHILPOTT,69,20,White American,Data Structue,M,58
BRODERICK TOPPS,69,20,White American,Data Structue,M,59
BRONWYN GUNDOGDU,89,18,Hispanic,Data Structue,F,60
BROOK MANCINELLI,82,19,White American,Data Structue,M,61
BRYAN MAR,47,18,African American,Data Structue,M,62
BRYAN RUBENSTEIN,76,20,White American,Data Structue,M,63
BURK DELVENTHAL,76,18,White American,Data Structue,M,64
C PETRUZZELLA,79,21,Hispanic,Data Structue,F,65
CANTREZ TRIPLETT,39,21,White American,Data Structue,M,66
CARL FABBRI,69,20,Hispanic,Data Structue,M,67
CARL JEPSEN,60,21,Hispanic,Data Structue,M,68
CARLOS GUTIERREZ,39,19,European American,Data Structue,M,69
CATHERINE JAMES,69,20,White American,Data Structue,F,70
CHAD LAW,47,20,White American,Data Structue,M,71
CHARLES CRANE,59,21,White American,Data Structue,M,72
CHARLES SCOTT,47,20,White American,Data Structue,M,73
CHARLES STINSON,79,19,European American,Data Structue,M,74
CHARLIE ORKES,76,18,Hispanic,Data Structue,F,75
CHRIS VEIN,89,20,Hispanic,Data Structue,M,76
CHRISTIANE HAYASHI,60,19,White American,Data Structue,M,77
CHRISTINE WINKLER,47,20,White American,Data Structue,M,78
CHRISTOPHER CHONG,59,18,White American,Data Structue,M,79
CHRISTOPHER HAZEN,79,19,European American,Data Structue,F,80
CHUTEH KOTAKE,82,19,European American,Data Structue,M,81
CLEMENTINO AVILA II,89,18,White American,Data Structue,M,82
CLYDE CHRISTOBAL,47,20,European American,Data Structue,M,83
COLLEEN RILEY,39,19,Hispanic,Data Structue,M,84
CRISTINA REYES,39,21,White American,Data Structue,F,85
CROCE CASCIATO,79,18,White American,Data Structue,M,86
CURTIS LUM,,19,European American,Data Structue,M,87
DALE CARNES,79,21,European American,Data Structue,M,88
DAMON HART,39,18,White American,Data Structue,M,89
DANIEL ARMENTA,39,21,African American,Data Structue,F,90
DANIEL COX,79,19,Hispanic,Data Structue,M,91
DANIEL CUNNINGHAM,82,19,White American,Data Structue,M,92
DANIEL DEDET,79,19,White American,Data Structue,M,93
DANIEL MAHONEY,85,18,White American,Data Structue,M,94
DANIEL MOLLOY,59,19,African American,Data Structue,F,95
DANIEL SCDORIS,69,18,White American,Data Structue,M,96
DANIEL YONTS,82,19,White American,Data Structue,M,97
DARCY KELLER,89,18,White American,Data Structue,M,98
DARREN CHOY,59,21,European American,Data Structue,M,99
DARRYL HUNTER,59,19,Hispanic,Data Structue,F,100
DAVID BRIGGS,39,18,Hispanic,Data Structue,M,101
DAVID FRANKLIN,47,20,African American,Data Structue,M,102
DAVID HAWKINS,89,18,European American,Data Structue,M,103
DAVID KUSHNER,60,21,White American,Data Structue,M,104
DAVID LAZAR,76,18,European American,Data Structue,F,105
DAVID OWEN,59,19,White American,Data Structue,M,106
DAVID PFEIFER,39,21,European American,Data Structue,M,107
DAVID SHINN,79,21,European American,Data Structue,M,108
DAVID SULLIVAN,39,19,White American,Data Structue,M,109
DAVID THOMPSON,79,21,White American,Data Structue,F,110
DAVID ZWYER,59,21,European American,Data Structue,M,111
DEBBIE TAM,79,18,White American,Data Structue,M,112
DEBORAH BORNE,82,19,Hispanic,Data Structue,M,113
DEBORAH JETER,39,19,White American,Data Structue,M,114
DEBORAH LOGAN,89,20,European American,Data Structue,F,115
DEBRA JOHNSON,82,21,White American,Data Structue,M,116
DENIS JOYCE,69,18,European American,Data Structue,M,117
DENIS OLEARY,47,20,White American,Data Structue,M,118
DENISE BAILEY,76,20,European American,Data Structue,M,119
DENISE NEWMAN,79,21,White American,Data Structue,F,120
DENISE SCHMITT,85,18,European American,Data Structue,M,121
DENNIS HERRERA,82,18,White American,Data Structue,M,122
DENNIS MARTINEZ,79,21,White American,Data Structue,M,123
DENNIS O'NEILL,39,19,European American,Data Structue,M,124
DENNIS SUTTER,47,18,European American,Data Structue,F,125
DEREK WING,89,20,White American,Data Structue,M,126
DERIO DITO,39,21,White American,Data Structue,M,127
DIANA GUEVARA,69,20,European American,Data Structue,M,128
DOMINIC CELAYA,60,21,White American,Data Structue,M,129
DONALD BRYANT,69,18,European American,Data Structue,F,130
DONALD FIELDS,60,18,Hispanic,Data Structue,M,131
DONALD MARGOLIS,69,20,Hispanic,Data Structue,M,132
DONALDSON SHUMPERT,47,18,European American,Data Structue,M,133
DONNA LEE,79,18,White American,Data Structue,M,134
DONNA MEIXNER,79,18,Hispanic,Data Structue,F,135
DONNIE HORNBUCKLE,59,21,European American,Data Structue,M,136
DOUGLAS MCEACHERN,59,21,Hispanic,Data Structue,M,137
DOUGLAS RIBA,85,20,White American,Data Structue,M,138
DUSTIN NOVO,79,21,European American,Data Structue,M,139
DWAYNE CURRY,,21,White American,Data Structue,F,140
EDGAR CALLEJAS,76,18,White American,Data Structue,M,141
EDGAR GONZALEZ,89,20,Hispanic,Data Structue,M,142
EDMUND DEA,79,18,Hispanic,Data Structue,M,143
EDMUND VAIL,60,18,White American,Data Structue,M,144
EDUARDO GONZALEZ,82,21,White American,Data Structue,F,145
EDWARD CAMPBELL,76,20,Hispanic,Data Structue,M,146
EDWARD CHEUNG,47,18,European American,Data Structue,M,147
EDWARD CHU,82,19,Hispanic,Data Structue,M,148
EDWARD DELCARLO,39,18,White American,Data Structue,M,149
EDWARD DENNIS,59,21,White American,Data Structue,F,150
EDWARD HARRINGTON,89,18,European American,Data Structue,M,151
EDWARD REISKIN,25,18,White American,Data Structue,M,152
EDWARD ROLAND,60,18,European American,Data Structue,M,153
EDWIN LEE,39,19,White American,Data Structue,M,154
EHRHARDT GROOTHOFF,47,18,White American,Data Structue,F,155
ELAINE COLEMAN,39,19,White American,Data Structue,M,156
ELISA RAMIREZ,47,18,European American,Data Structue,M,157
ELIZABETH JOHNSON,85,18,European American,Data Structue,M,158
ELLEN APOLINARIO,79,19,European American,Data Structue,M,159
ELLEN LEVIN,47,18,European American,Data Structue,F,160
ELLEN MOFFATT,82,18,White American,Data Structue,M,161
ERIBERTO ISON,,18,White American,Data Structue,M,162
ERIC CRANSTON,76,18,Hispanic,Data Structue,M,163
ERIKA HOO,79,19,White American,Data Structue,M,164
ERNEST JOHNSON,39,18,European American,Data Structue,F,165
EUGENE GALEANO,76,20,Hispanic,Data Structue,M,166
EVETTE GEER-STEVENS,85,18,European American,Data Structue,M,167
FE HORTINELA,59,19,White American,Data Structue,M,168
FERDINAND CADELINA,59,19,White American,Data Structue,M,169
FERDINAND MENESES,69,18,Hispanic,Data Structue,F,170
FERNANDO DEALBA,82,18,European American,Data Structue,M,171
FLAVIA BAYATI,59,18,White American,Data Structue,M,172
FLOYD ROLLINS,47,20,White American,Data Structue,M,173
FRANK CARDINALE,82,19,White American,Data Structue,M,174
FRANK HSIEH,39,19,Hispanic,Data Structue,F,175
FRANK KOSTA,89,18,White American,Data Structue,M,176
FREDERICK BINKLEY,69,18,African American,Data Structue,M,177
FUAD SWEISS,47,20,Hispanic,Data Structue,M,178
GARRET TOM,47,18,Hispanic,Data Structue,M,179
GARY AMELIO,89,18,European American,Data Structue,F,180
GARY CONSTANTINE,89,20,White American,Data Structue,M,181
GARY JIMENEZ,79,19,White American,Data Structue,M,182
GAVIN ESTUPINIAN,82,19,African American,Data Structue,M,183
GEORGE FOURAS,82,19,Hispanic,Data Structue,M,184
GEORGE GARCIA,89,20,White American,Data Structue,F,185
GEORGE GASCON,69,20,European American,Data Structue,M,186
GEORGE LYSENKO,69,20,Hispanic,Data Structue,M,187
GERALD DARCY,89,20,European American,Data Structue,M,188
GERALD MANSUR JR,85,20,European American,Data Structue,M,189
GERARDO PINTO,76,18,White American,Data Structue,F,190
GHODSI DAVARY,79,19,White American,Data Structue,M,191
GLEN KOJIMOTO,85,18,African American,Data Structue,M,192
GLENN KIRCHER,79,19,European American,Data Structue,M,193
GLENN MAR,79,21,Hispanic,Data Structue,M,194
GLENN ORTIZ-SCHULDT,85,20,African American,Data Structue,F,195
GLORIA GARCIA ORME,85,18,European American,Data Structue,M,196
GRAD GREEN,79,21,White American,Data Structue,M,197
GREGORY CACHARELIS,89,20,White American,Data Structue,M,198
GREGORY CORRALES,82,21,European American,Data Structue,M,199
GREGORY MAR,47,18,White American,Data Structue,F,200
GREGORY MCFARLAND,60,18,Hispanic,Data Structue,M,201
GREGORY STANGLAND,85,20,White American,Data Structue,M,202
GREGORY SUHR,39,19,White American,Data Structue,M,203
GUY GOODWIN,79,19,Hispanic,Data Structue,M,204
HAGOP HAJIAN,76,18,European American,Data Structue,F,205
HANS VIGIL,60,19,Hispanic,Data Structue,M,206
HARLAN KELLY-JR,69,20,European American,Data Structue,M,207
HAROLD BYRD,69,18,White American,Data Structue,M,208
HARRY PINKARD,89,18,White American,Data Structue,M,209
HARVEY ELWIN,60,19,White American,Data Structue,F,210
HENRY LARKIN,60,21,African American,Data Structue,M,211
HERALIO SERRANO,82,19,White American,Data Structue,M,212
HERBERT CARNEY,82,19,Hispanic,Data Structue,M,213
HERBERT HENLEY,69,18,White American,Data Structue,M,214
IRENE SUNG,60,19,White American,Data Structue,F,215
IVAR SATERO,,19,European American,Data Structue,M,216
JACK CHOW,76,20,Hispanic,Data Structue,M,217
JACKSON WONG,76,18,White American,Data Structue,M,218
JALAL AINEB,39,19,White American,Data Structue,M,219
JAMES BLAKE,89,18,White American,Data Structue,F,220
JAMES BOSCH,60,19,Hispanic,Data Structue,M,221
JAMES CALONICO,79,21,European American,Data Structue,M,222
JAMES DEIGNAN,76,18,White American,Data Structue,M,223
JAMES DUDLEY,85,18,European American,Data Structue,M,224
JAMES EMERY,79,21,Hispanic,Data Structue,F,225
JAMES FAZACKERLEY,89,20,White American,Data Structue,M,226
JAMES FLORES,47,20,Hispanic,Data Structue,M,227
JAMES HARRIGAN,85,20,European American,Data Structue,M,228
JAMES MILLER,39,19,White American,Data Structue,M,229
JAMES SPILLANE,59,18,European American,Data Structue,F,230
JAMES VANNUCCHI,69,20,White American,Data Structue,M,231
JANET HINES,85,18,White American,Data Structue,M,232
JASON PAW,47,20,European American,Data Structue,M,233
JAY HUISH,47,18,Hispanic,Data Structue,M,234
JAY KLOO,47,18,White American,Data Structue,F,235
JEFF COLUMBINI,89,18,Hispanic,Data Structue,M,236
JEFF IWASAKI,69,20,White American,Data Structue,M,237
JEFFREY ADACHI,89,20,Hispanic,Data Structue,M,238
JEFFREY BARDEN,76,18,White American,Data Structue,M,239
JEFFREY MYERS,47,18,White American,Data Structue,F,240
JENNIFER DEBERRY,89,18,European American,Data Structue,M,241
JENNIFER MATZ,69,20,European American,Data Structue,M,242
JERRY COLEMAN,60,18,Hispanic,Data Structue,M,243
JESSE SMITH,85,20,White American,Data Structue,M,244
JESUS PENA,85,20,European American,Data Structue,F,245
JILL LECOUNT,79,18,Hispanic,Data Structue,M,246
JIM GIANG,69,20,African American,Data Structue,M,247
JIM HALL III,60,18,White American,Data Structue,M,248
JIMMIE LEW,69,20,White American,Data Structue,M,249
JOANNE HAYES-WHITE,82,19,European American,Data Structue,F,250
JOANNE HOEPER,82,18,African American,Data Structue,M,251
JOHN BARKER,76,20,European American,Data Structue,M,252
JOHN BRAGAGNOLO,59,18,European American,Data Structue,M,253
JOHN BROWN,39,19,African American,Data Structue,M,254
JOHN BUCHANAN JR,79,18,European American,Data Structue,F,255
JOHN CAVANAUGH,59,19,White American,Data Structue,M,256
JOHN CREMEN,69,20,White American,Data Structue,M,257
JOHN EHRLICH,69,18,European American,Data Structue,M,258
JOHN FEENEY,47,20,White American,Data Structue,M,259
JOHN FLORES,39,18,White American,Data Structue,F,260
JOHN GARRITY,85,18,White American,Data Structue,M,261
JOHN GOLDBERG,89,18,White American,Data Structue,M,262
JOHN HALEY JR,89,18,Hispanic,Data Structue,M,263
JOHN HANLEY,76,20,White American,Data Structue,M,264
JOHN HART,47,18,White American,Data Structue,F,265
JOHN HICKEY,60,21,European American,Data Structue,M,266
JOHN KOSTA,39,19,White American,Data Structue,M,267
JOHN LOFTUS,76,20,White American,Data Structue,M,268
JOHN MARTIN,59,19,European American,Data Structue,M,269
