Name,Score,Age,Ethinicity,Subject,Sex,ID
AI-KYUNG CHUNG,88,18,White American,Maths,M,1
ALAN HARVEY,85,19,European American,Maths,M,2
ALAN REYNAUD,45,19,European American,Maths,M,3
ALBERT CENDANA,82,18,White American,Maths,M,4
ALBERT HOLT JR,82,18,White American,Maths,F,5
ALBERT PARDINI,95,20,White American,Maths,M,6
ALBERT YU,95,18,White American,Maths,M,7
ALBERTO PEDRUCO,65,19,White American,Maths,M,8
ALEC BALMY,88,18,Hispanic,Maths,M,9
ALEETA VAN RUNKLE,88,19,Hispanic,Maths,F,10
ALEX TSE,53,20,White American,Maths,M,11
ALEXANDER CHEN,53,20,White American,Maths,M,12
ALEXANDER KWAN,66,19,White American,Maths,M,13
ALEXIS GOLDNER,88,18,White American,Maths,M,14
ALLEN TURPIN,88,21,White American,Maths,F,15
ALSON LEE,82,20,White American,Maths,M,16
ALVIN LAU,31,18,White American,Maths,M,17
AMEN CHOW,95,18,European American,Maths,M,18
AMPARO RODRIGUEZ,91,18,Hispanic,Maths,M,19
AMY BROWN,66,18,White American,Maths,F,20
AMY HART,82,18,Hispanic,Maths,M,21
ANA SAMPERA,66,18,European American,Maths,M,22
ANDRE ANDREWS SR,75,18,White American,Maths,M,23
ANDRE WILLIAMS,65,19,Hispanic,Maths,M,24
ANDREW LOGAN,91,20,European American,Maths,F,25
ANDREW SAITZ,91,18,White American,Maths,M,26
ANDY ZANOFF,53,20,Hispanic,Maths,M,27
ANGELA PLATZER,91,20,European American,Maths,M,28
ANN MANNIX,88,21,Hispanic,Maths,M,29
ANNA BROWN,85,19,White American,Maths,F,30
ANNE KRONENBERG,75,20,White American,Maths,M,31
ANNETTE HOBRUCKER-PFEIFER,66,21,European American,Maths,M,32
ANTHONY DUMONT,45,19,European American,Maths,M,33
ANTHONY ROBINSON,66,18,European American,Maths,M,34
ANTONIO FLORES,53,20,Hispanic,Maths,F,35
ANTONIO PARRA,65,19,White American,Maths,M,36
ANTONIO SANTIAGO,53,18,White American,Maths,M,37
ARNIE LEE,75,20,White American,Maths,M,38
ARNOLD CHOY,45,18,White American,Maths,M,39
ARTHUR BORGES,66,19,White American,Maths,F,40
ARTHUR KENNEY,75,20,European American,Maths,M,41
ARTHUR STELLINI,95,20,African American,Maths,M,42
ATTICA BOWDEN,65,21,White American,Maths,M,43
BARBARA GARCIA,85,18,European American,Maths,M,44
BARBARA HALE,82,20,European American,Maths,F,45
BARBARA SCHULTHEIS,65,21,African American,Maths,M,46
BARRY BLOOM,85,21,White American,Maths,M,47
BENJAMIN ROSENFIELD,82,18,Hispanic,Maths,M,48
BERGLIOTH MATHEWS,65,18,Hispanic,Maths,M,49
BERT REYES,66,19,White American,Maths,F,50
BOND YEE,82,18,European American,Maths,M,51
BONNIE TAYLOR,88,19,White American,Maths,M,52
BRADEN WOODS,,19,African American,Maths,M,53
BRENDAN MCGORRIN,95,20,White American,Maths,M,54
BRENDAN WARD,88,21,White American,Maths,F,55
BRIAN DELAHUNTY,91,18,Hispanic,Maths,M,56
BRIAN MURPHY,53,20,European American,Maths,M,57
BRIAN PHILPOTT,75,20,White American,Maths,M,58
BRODERICK TOPPS,75,20,White American,Maths,M,59
BRONWYN GUNDOGDU,95,18,Hispanic,Maths,F,60
BROOK MANCINELLI,88,19,White American,Maths,M,61
BRYAN MAR,53,18,African American,Maths,M,62
BRYAN RUBENSTEIN,82,20,White American,Maths,M,63
BURK DELVENTHAL,82,18,White American,Maths,M,64
C PETRUZZELLA,85,21,Hispanic,Maths,F,65
CANTREZ TRIPLETT,45,21,White American,Maths,M,66
CARL FABBRI,75,20,Hispanic,Maths,M,67
CARL JEPSEN,66,21,Hispanic,Maths,M,68
CARLOS GUTIERREZ,45,19,European American,Maths,M,69
CATHERINE JAMES,75,20,White American,Maths,F,70
CHAD LAW,53,20,White American,Maths,M,71
CHARLES CRANE,65,21,White American,Maths,M,72
CHARLES SCOTT,53,20,White American,Maths,M,73
CHARLES STINSON,85,19,European American,Maths,M,74
CHARLIE ORKES,82,18,Hispanic,Maths,F,75
CHRIS VEIN,95,20,Hispanic,Maths,M,76
CHRISTIANE HAYASHI,66,19,White American,Maths,M,77
CHRISTINE WINKLER,53,20,White American,Maths,M,78
CHRISTOPHER CHONG,65,18,White American,Maths,M,79
CHRISTOPHER HAZEN,85,19,European American,Maths,F,80
CHUTEH KOTAKE,88,19,European American,Maths,M,81
CLEMENTINO AVILA II,95,18,White American,Maths,M,82
CLYDE CHRISTOBAL,53,20,European American,Maths,M,83
COLLEEN RILEY,45,19,Hispanic,Maths,M,84
CRISTINA REYES,45,21,White American,Maths,F,85
CROCE CASCIATO,85,18,White American,Maths,M,86
CURTIS LUM,45,19,European American,Maths,M,87
DALE CARNES,85,21,European American,Maths,M,88
DAMON HART,45,18,White American,Maths,M,89
DANIEL ARMENTA,45,21,African American,Maths,F,90
DANIEL COX,85,19,Hispanic,Maths,M,91
DANIEL CUNNINGHAM,88,19,White American,Maths,M,92
DANIEL DEDET,85,19,White American,Maths,M,93
DANIEL MAHONEY,91,18,White American,Maths,M,94
DANIEL MOLLOY,65,19,African American,Maths,F,95
DANIEL SCDORIS,75,18,White American,Maths,M,96
DANIEL YONTS,88,19,White American,Maths,M,97
DARCY KELLER,95,18,White American,Maths,M,98
DARREN CHOY,65,21,European American,Maths,M,99
DARRYL HUNTER,65,19,Hispanic,Maths,F,100
DAVID BRIGGS,45,18,Hispanic,Maths,M,101
DAVID FRANKLIN,53,20,African American,Maths,M,102
DAVID HAWKINS,95,18,European American,Maths,M,103
DAVID KUSHNER,66,21,White American,Maths,M,104
DAVID LAZAR,82,18,European American,Maths,F,105
DAVID OWEN,65,19,White American,Maths,M,106
DAVID PFEIFER,45,21,European American,Maths,M,107
DAVID SHINN,85,21,European American,Maths,M,108
DAVID SULLIVAN,45,19,White American,Maths,M,109
DAVID THOMPSON,85,21,White American,Maths,F,110
DAVID ZWYER,65,21,European American,Maths,M,111
DEBBIE TAM,85,18,White American,Maths,M,112
DEBORAH BORNE,88,19,Hispanic,Maths,M,113
DEBORAH JETER,45,19,White American,Maths,M,114
DEBORAH LOGAN,95,20,European American,Maths,F,115
DEBRA JOHNSON,88,21,White American,Maths,M,116
DENIS JOYCE,75,18,European American,Maths,M,117
DENIS OLEARY,53,20,White American,Maths,M,118
DENISE BAILEY,82,20,European American,Maths,M,119
DENISE NEWMAN,85,21,White American,Maths,F,120
DENISE SCHMITT,91,18,European American,Maths,M,121
DENNIS HERRERA,88,18,White American,Maths,M,122
DENNIS MARTINEZ,85,21,White American,Maths,M,123
DENNIS O'NEILL,45,19,European American,Maths,M,124
DENNIS SUTTER,53,18,European American,Maths,F,125
DEREK WING,95,20,White American,Maths,M,126
DERIO DITO,45,21,White American,Maths,M,127
DIANA GUEVARA,75,20,European American,Maths,M,128
DOMINIC CELAYA,66,21,White American,Maths,M,129
DONALD BRYANT,75,18,European American,Maths,F,130
DONALD FIELDS,66,18,Hispanic,Maths,M,131
DONALD MARGOLIS,75,20,Hispanic,Maths,M,132
DONALDSON SHUMPERT,53,18,European American,Maths,M,133
DONNA LEE,85,18,White American,Maths,M,134
DONNA MEIXNER,85,18,Hispanic,Maths,F,135
DONNIE HORNBUCKLE,65,21,European American,Maths,M,136
DOUGLAS MCEACHERN,65,21,Hispanic,Maths,M,137
DOUGLAS RIBA,91,20,White American,Maths,M,138
DUSTIN NOVO,85,21,European American,Maths,M,139
DWAYNE CURRY,45,21,White American,Maths,F,140
EDGAR CALLEJAS,82,18,White American,Maths,M,141
EDGAR GONZALEZ,95,20,Hispanic,Maths,M,142
EDMUND DEA,85,18,Hispanic,Maths,M,143
EDMUND VAIL,66,18,White American,Maths,M,144
EDUARDO GONZALEZ,88,21,White American,Maths,F,145
EDWARD CAMPBELL,82,20,Hispanic,Maths,M,146
EDWARD CHEUNG,53,18,European American,Maths,M,147
EDWARD CHU,88,19,Hispanic,Maths,M,148
EDWARD DELCARLO,45,18,White American,Maths,M,149
EDWARD DENNIS,65,21,White American,Maths,F,150
EDWARD HARRINGTON,95,18,European American,Maths,M,151
EDWARD REISKIN,31,18,White American,Maths,M,152
EDWARD ROLAND,66,18,European American,Maths,M,153
EDWIN LEE,45,19,White American,Maths,M,154
EHRHARDT GROOTHOFF,53,18,White American,Maths,F,155
ELAINE COLEMAN,45,19,White American,Maths,M,156
ELISA RAMIREZ,53,18,European American,Maths,M,157
ELIZABETH JOHNSON,91,18,European American,Maths,M,158
ELLEN APOLINARIO,85,19,European American,Maths,M,159
ELLEN LEVIN,53,18,European American,Maths,F,160
ELLEN MOFFATT,88,18,White American,Maths,M,161
ERIBERTO ISON,88,18,White American,Maths,M,162
ERIC CRANSTON,82,18,Hispanic,Maths,M,163
ERIKA HOO,85,19,White American,Maths,M,164
ERNEST JOHNSON,45,18,European American,Maths,F,165
EUGENE GALEANO,82,20,Hispanic,Maths,M,166
EVETTE GEER-STEVENS,91,18,European American,Maths,M,167
FE HORTINELA,65,19,White American,Maths,M,168
FERDINAND CADELINA,65,19,White American,Maths,M,169
FERDINAND MENESES,75,18,Hispanic,Maths,F,170
FERNANDO DEALBA,88,18,European American,Maths,M,171
FLAVIA BAYATI,65,18,White American,Maths,M,172
FLOYD ROLLINS,53,20,White American,Maths,M,173
FRANK CARDINALE,88,19,White American,Maths,M,174
FRANK HSIEH,45,19,Hispanic,Maths,F,175
FRANK KOSTA,95,18,White American,Maths,M,176
FREDERICK BINKLEY,75,18,African American,Maths,M,177
FUAD SWEISS,53,20,Hispanic,Maths,M,178
GARRET TOM,53,18,Hispanic,Maths,M,179
GARY AMELIO,95,18,European American,Maths,F,180
GARY CONSTANTINE,95,20,White American,Maths,M,181
GARY JIMENEZ,85,19,White American,Maths,M,182
GAVIN ESTUPINIAN,88,19,African American,Maths,M,183
GEORGE FOURAS,88,19,Hispanic,Maths,M,184
GEORGE GARCIA,95,20,White American,Maths,F,185
GEORGE GASCON,75,20,European American,Maths,M,186
GEORGE LYSENKO,75,20,Hispanic,Maths,M,187
GERALD DARCY,95,20,European American,Maths,M,188
