Name,Score,Age,Ethinicity,Subject,Sex,ID
AI-KYUNG CHUNG,84,18,White American,Physics,M,1
ALAN HARVEY,81,19,European American,Physics,M,2
ALAN REYNAUD,41,19,European American,Physics,M,3
ALBERT CENDANA,78,18,White American,Physics,M,4
ALBERT HOLT JR,78,18,White American,Physics,F,5
ALBERT PARDINI,91,20,White American,Physics,M,6
ALBERT YU,91,18,White American,Physics,M,7
ALBERTO PEDRUCO,61,19,White American,Physics,M,8
ALEC BALMY,84,18,Hispanic,Physics,M,9
ALEETA VAN RUNKLE,84,19,Hispanic,Physics,F,10
ALEX TSE,49,20,White American,Physics,M,11
ALEXANDER CHEN,49,20,White American,Physics,M,12
ALEXANDER KWAN,62,19,White American,Physics,M,13
ALEXIS GOLDNER,84,18,White American,Physics,M,14
ALLEN TURPIN,84,21,White American,Physics,F,15
ALSON LEE,78,20,White American,Physics,M,16
ALVIN LAU,,18,White American,Physics,M,17
AMEN CHOW,91,18,European American,Physics,M,18
AMPARO RODRIGUEZ,87,18,Hispanic,Physics,M,19
AMY BROWN,62,18,White American,Physics,F,20
AMY HART,78,18,Hispanic,Physics,M,21
ANA SAMPERA,62,18,European American,Physics,M,22
ANDRE ANDREWS SR,71,18,White American,Physics,M,23
ANDRE WILLIAMS,61,19,Hispanic,Physics,M,24
ANDREW LOGAN,87,20,European American,Physics,F,25
ANDREW SAITZ,87,18,White American,Physics,M,26
ANDY ZANOFF,49,20,Hispanic,Physics,M,27
ANGELA PLATZER,87,20,European American,Physics,M,28
ANN MANNIX,84,21,Hispanic,Physics,M,29
ANNA BROWN,81,19,White American,Physics,F,30
ANNE KRONENBERG,71,20,White American,Physics,M,31
ANNETTE HOBRUCKER-PFEIFER,62,21,European American,Physics,M,32
ANTHONY DUMONT,41,19,European American,Physics,M,33
ANTHONY ROBINSON,94,18,European American,Physics,M,34
ANTONIO FLORES,49,20,Hispanic,Physics,F,35
ANTONIO PARRA,61,19,White American,Physics,M,36
ANTONIO SANTIAGO,49,18,White American,Physics,M,37
ARNIE LEE,71,20,White American,Physics,M,38
ARNOLD CHOY,41,18,White American,Physics,M,39
ARTHUR BORGES,62,19,White American,Physics,F,40
ARTHUR KENNEY,71,20,European American,Physics,M,41
ARTHUR STELLINI,91,20,African American,Physics,M,42
ATTICA BOWDEN,61,21,White American,Physics,M,43
BARBARA GARCIA,81,18,European American,Physics,M,44
BARBARA HALE,78,20,European American,Physics,F,45
BARBARA SCHULTHEIS,61,21,African American,Physics,M,46
BARRY BLOOM,81,21,White American,Physics,M,47
BENJAMIN ROSENFIELD,78,18,Hispanic,Physics,M,48
BERGLIOTH MATHEWS,61,18,Hispanic,Physics,M,49
BERT REYES,62,19,White American,Physics,F,50
BOND YEE,78,18,European American,Physics,M,51
BONNIE TAYLOR,84,19,White American,Physics,M,52
BRADEN WOODS,41,19,African American,Physics,M,53
BRENDAN MCGORRIN,91,20,White American,Physics,M,54
BRENDAN WARD,84,21,White American,Physics,F,55
BRIAN DELAHUNTY,87,18,Hispanic,Physics,M,56
BRIAN MURPHY,49,20,European American,Physics,M,57
BRIAN PHILPOTT,71,20,White American,Physics,M,58
BRODERICK TOPPS,71,20,White American,Physics,M,59
BRONWYN GUNDOGDU,91,18,Hispanic,Physics,F,60
BROOK MANCINELLI,84,19,White American,Physics,M,61
BRYAN MAR,49,18,African American,Physics,M,62
BRYAN RUBENSTEIN,78,20,White American,Physics,M,63
BURK DELVENTHAL,78,18,White American,Physics,M,64
C PETRUZZELLA,81,21,Hispanic,Physics,F,65
CANTREZ TRIPLETT,,21,White American,Physics,M,66
CARL FABBRI,71,20,Hispanic,Physics,M,67
CARL JEPSEN,62,21,Hispanic,Physics,M,68
CARLOS GUTIERREZ,41,19,European American,Physics,M,69
CATHERINE JAMES,71,20,White American,Physics,F,70
CHAD LAW,49,20,White American,Physics,M,71
CHARLES CRANE,61,21,White American,Physics,M,72
CHARLES SCOTT,49,20,White American,Physics,M,73
CHARLES STINSON,81,19,European American,Physics,M,74
CHARLIE ORKES,78,18,Hispanic,Physics,F,75
CHRIS VEIN,91,20,Hispanic,Physics,M,76
CHRISTIANE HAYASHI,62,19,White American,Physics,M,77
CHRISTINE WINKLER,49,20,White American,Physics,M,78
CHRISTOPHER CHONG,61,18,White American,Physics,M,79
CHRISTOPHER HAZEN,81,19,European American,Physics,F,80
CHUTEH KOTAKE,84,19,European American,Physics,M,81
